id,title,company_name,location,link,image_url,salary_min,salary_max,published_date_parsed,metadata
2e925ca7-ced8-47dc-9529-6638de642cf3,Senior Software Engineer I (Full Stack Engineer),razer,"Singapore, Singapore",https://www.techinasia.com/jobs/2e925ca7-ced8-47dc-9529-6638de642cf3,https://cdn.techinasia.com/data/images/cfaaf8e4ac60773040ab548dd782e535.jpg,,,,"Software Engineer,Consumer Electronics,Full-time"
2c0a5082-c5cf-4010-9173-19ed04089e71,AI Specialist (Data Science & Analytics),gxs bank,"Singapore, Singapore",https://www.techinasia.com/jobs/2c0a5082-c5cf-4010-9173-19ed04089e71,https://cdn.techinasia.com/data/images/6MQLpFjbvZKFpuCSfr0QBOBgoiofDak5Cdgws8rC.jpeg,,,,"Software Engineer,Financial exchanges,Full-time"
3e09fa42-5488-4312-8cfb-0d4355c5a469,"Account Director, EDU Singapore",openai,"Singapore, Singapore",https://www.techinasia.com/jobs/3e09fa42-5488-4312-8cfb-0d4355c5a469,https://cdn.techinasia.com/data/images/FQPuasOT5nwEZaYXxP3Sz19XagJ2HOA4e6IPXq7j.jpeg,,,,"Sales & Business Development,Artificial Intelligence,Full-time"
be780cc9-b066-4244-988c-1d2d17a266d8,Senior Full Stack Engineer,wise,"Singapore, Singapore",https://www.techinasia.com/jobs/be780cc9-b066-4244-988c-1d2d17a266d8,https://cdn.techinasia.com/data/images/gHyeUbM2qsZjlM1ZNmfdlTsAU5PxNTYjrWeqJyRU.jpeg,147000.0,180000.0,,"Software Engineer,Financial exchanges,Full-time"
86f7f5dd-cdb9-41a7-b7dd-3f7fa06aadfb,Machine Learning Engineer,ahrefs,"Singapore, Singapore",https://www.techinasia.com/jobs/86f7f5dd-cdb9-41a7-b7dd-3f7fa06aadfb,https://cdn.techinasia.com/data/images/222773b46f26faea17860419043b6b84.jpg,,,,"Software Engineer,Internet marketing,Full-time"
1c845716-0538-4002-8eda-6bc63de60300,"Staff Engineer, Autonomy Software - Field Applications",shield ai,"Singapore, Singapore",https://www.techinasia.com/jobs/1c845716-0538-4002-8eda-6bc63de60300,https://cdn.techinasia.com/data/images/egVjTlwnzD3QUZ7eu4vnFW2NcJedBP7EkZh8CHTV.jpeg,155000.0,235000.0,,"Software Engineer,Artificial Intelligence,Full-time"
e2df02bd-dc8c-4c19-af9c-eb3658563e30,Senior / Data Engineer,patsnap,"Singapore, Singapore",https://www.techinasia.com/jobs/e2df02bd-dc8c-4c19-af9c-eb3658563e30,https://cdn.techinasia.com/data/images/QsjyHgawxCQ38LQLjNxgfNd0m0nZfLhVkElxRoq1.jpeg,,,,"Data & Analytics,SaaS,Full-time"
8670da2a-0fb8-4b07-be82-97d2557805e9,Growth Marketing Manager,mongodb,"Singapore, Singapore",https://www.techinasia.com/jobs/8670da2a-0fb8-4b07-be82-97d2557805e9,https://cdn.techinasia.com/data/images/c6nGKEJlt6MCbXaGySpVTOIF23CZSA9XeTW9cCkX.jpeg,,,,"Marketing & PR,Software,Full-time"
08f241e3-8427-47c6-a17e-c299a94767cc,Senior Operational Planner / Project Lead,asml,"Singapore, Singapore",https://www.techinasia.com/jobs/08f241e3-8427-47c6-a17e-c299a94767cc,https://cdn.techinasia.com/data/images/VwWcSOZ0zavd3IxvmLkvtcD6g5Rar3cQBYNlkO3O.jpeg,,,,"Logistics & Operations,Semiconductors,Full-time"
9a255954-1d41-4743-9be7-3cea4b08bcc3,Senior UI/UX Designer,amplify health,"Singapore, Singapore",https://www.techinasia.com/jobs/9a255954-1d41-4743-9be7-3cea4b08bcc3,https://cdn.techinasia.com/data/images/ESI5JOtyQrz9qS2xzOHNyDAnAKe6YkJ6I4Z7YjBf.jpeg,,,,"UX/UI Design,SaaS,Full-time"
fc4ca1c9-e621-48b6-9531-bbedb9cdaa31,UI/UX Designer,amplify health,"Singapore, Singapore",https://www.techinasia.com/jobs/fc4ca1c9-e621-48b6-9531-bbedb9cdaa31,https://cdn.techinasia.com/data/images/ESI5JOtyQrz9qS2xzOHNyDAnAKe6YkJ6I4Z7YjBf.jpeg,,,,"UX/UI Design,SaaS,Full-time"
